01_PortLocation,02_PortName,03_PortAuth,04_PortAddress,05_PortPhone,06_PortFax,07_Port800Num,08_PortEmail,09_PortWeb,10_PortLat,11_PortLong,12_PortLOCODE,13_PortType,14_PortSize,LAT,LONGS
Manati,Port of Manati,Empresa Terminales Mambisas de La Habana,ManatiCuba,NAN,NAN,NAN,NAN,NAN,"21° 21' 28"" N","76° 49' 30"" W",CUMNT,"Pier, Jetty or Wharf",Very Small,21.35777777777778,-76.825
Manzanillo,Port of Manzanillo,Empresa Terminales Mambisas de La Habana,ManzanilloCuba,NAN,NAN,NAN,NAN,NAN,"20° 20' 15"" N","77° 8' 1"" W",CUMZO,"Pier, Jetty or Wharf",Small,20.3375,-77.13361111111112
Mariel,Port of Mariel,Empresa Terminales Mambisas de La Habana,MarielCuba,NAN,NAN,NAN,NAN,NAN,"23° 0' 23"" N","82° 45' 34"" W",CUMAR,Harbor,Small,23.00638888888889,-82.75944444444444
Matanzas,Port of Matanzas,Empresa Terminales Mambisas de La Habana,MatanzasCuba,NAN,NAN,NAN,NAN,NAN,"23° 3' 5"" N","81° 32' 21"" W",CUQMA,Harbor,Small,23.05138888888889,-81.53916666666666
Moa,Port of Moa,Empresa Terminales Mambisas de La Habana,MoaCuba,NAN,NAN,NAN,NAN,NAN,"20° 39' 22"" N","74° 54' 30"" W",CUMOA,Seaport,Small,20.65611111111111,-74.90833333333335
Nicaro,Port of Nicaro,Empresa Terminales Mambisas de La Habana,NicaroCuba,NAN,NAN,NAN,NAN,NAN,"20° 42' 48"" N","75° 33' 5"" W",CUICR,Seaport,Small,20.71333333333333,-75.55138888888888
Nueva Gerona,Port of Nueva Gerona,Empresa Terminales Mambisas de La Habana,Nueva GeronaCuba,NAN,NAN,NAN,NAN,NAN,"21° 54' 12"" N","82° 47' 56"" W",CUGER,Seaport,Small,21.903333333333332,-82.79888888888888
Nuevitas,Port of Nuevitas,Empresa Terminales Mambisas de La Habana,NuevitasCuba,NAN,NAN,NAN,NAN,NAN,"21° 33' 47"" N","77° 14' 35"" W",CUNVT,"Pier, Jetty or Wharf",Small,21.563055555555557,-77.24305555555556
Palo Alto,Port of Palo Alto,Empresa Terminales Mambisas de La Habana,Palo AltoCuba,NAN,NAN,NAN,NAN,NAN,"21° 35' 49"" N","78° 58' 26"" W",CUPAL,"Pier, Jetty or Wharf",Very Small,21.596944444444443,-78.9738888888889
Pastelillo,Port of Pastelillo,Empresa Terminales Mambisas de La Habana,PastelilloCuba,NAN,NAN,NAN,NAN,NAN,"21° 32' 14"" N","77° 15' 44"" W",CUPAS,"Pier, Jetty or Wharf",Very Small,21.537222222222223,-77.26222222222222
Preston,Port of Preston,Empresa Terminales Mambisas de La Habana,PrestonCuba,NAN,NAN,NAN,NAN,NAN,"20° 45' 32"" N","75° 39' 26"" W",NAN,"Pier, Jetty or Wharf",Very Small,20.75888888888889,-75.65722222222223
Puerto Padre,Port of Puerto Padre,Empresa Terminales Mambisas de La Habana,Puerto PadreCuba,NAN,NAN,NAN,NAN,NAN,"21° 12' 12"" N","76° 35' 44"" W",CUPPA,"Pier, Jetty or Wharf",Very Small,21.203333333333333,-76.59555555555555
Punta Gorda,Port of Punta Gorda,Empresa Terminales Mambisas de La Habana,Punta GordaCuba,NAN,NAN,NAN,NAN,NAN,"20° 37' 35"" N","74° 50' 15"" W",NAN,Off-Shore Terminal,Very Small,20.62638888888889,-74.83749999999999
Santa Cruz del Sur,Port of Santa Cruz del Sur,Empresa Terminales Mambisas de La Habana,Santa Cruz del SurCuba,NAN,NAN,NAN,NAN,NAN,"20° 42' 5"" N","77° 58' 48"" W",CUSCS,Harbor,Small,20.70138888888889,-77.98
Santa Lucia,Port of Santa Lucia,Empresa Terminales Mambisas de La Habana,Santa LuciaCuba,NAN,NAN,NAN,NAN,NAN,"22° 40' 21"" N","83° 58' 3"" W",NAN,"Pier, Jetty or Wharf",Very Small,22.6725,-83.9675
Santa Maria,Puerto de Santa Maria,NAN,Santa MariaCuba,NAN,NAN,NAN,NAN,NAN,"21° 24' 44"" N","78° 34' 21"" W",NAN,"Pier, Jetty or Wharf",Very Small,21.41222222222222,-78.57249999999999
Santiago de Cuba,Port of Santiago de Cuba,Empresa Terminales Mambisas del Oriente,Santiago de CubaCuba,NAN,NAN,NAN,NAN,NAN,"20° 0' 6"" N","75° 51' 38"" W",CUSCU,Seaport,Large,20.001666666666665,-75.86055555555555
Tanamo,Port of Tanamo,Empresa Terminales Mambisas de La Habana,TanamoCuba,NAN,NAN,NAN,NAN,NAN,"20° 42' 34"" N","75° 19' 48"" W",CUTAN,"Pier, Jetty or Wharf",Very Small,20.709444444444443,-75.33
Tunas de Zaza,Port of Tunas de Zaza,Empresa Terminales Mambisas de La Habana,Tunas de ZazaCuba,NAN,NAN,NAN,NAN,NAN,"21° 37' 58"" N","79° 33' 5"" W",CUTDZ,"Pier, Jetty or Wharf",Very Small,21.63277777777778,-79.55138888888888
Vita, Puerto de Vita,Empresa Terminales Mambisas de La Habana,VitaCuba,NAN,NAN,NAN,NAN,NAN,"21° 4' 33"" N","75° 57' 10"" W",CUVIT,"Pier, Jetty or Wharf",Very Small,21.075833333333332,-75.95277777777778
Dhekelia,Dhekelia,Cyprus Ports Authority,Cyprus,NAN,NAN,NAN,NAN,www.eac.com.cy,"34° 58' 50"" N","33° 44' 3"" E",CYDHK,Harbor,Small,34.980555555555554,33.73416666666667
Larnaca,Larnaca Port,Cyprus Ports Authority,23 Crete StrP.O.Box 22007Nicosia 1516Cyprus,357 22817200,357 22765420,NAN,cpa@cpa.gov.cy,www.cpa.gov.cy,"34° 55' 27"" N","33° 38' 34"" E",CYLCA,Harbor,Small,34.924166666666665,33.64277777777778
Prague,Port of Prague,NAN,PragueCzech Republic,NAN,NAN,NAN,NAN,www.praha.eu,"50° 4' 48"" N","14° 25' 42"" E",NAN,River Port,Small,50.080000000000005,14.428333333333333
Fredericia,Terminal  Fredericia,Associated Danish Ports A/S,Vesthavnsvej 33Fredericia DK-7000Denmark,+45 7921 5000,+45 7921 5005,NAN,post@adp-as.dk,www.adp-as.com,"55° 33' 29"" N","9° 44' 41"" E",DKFRC,Seaport,Small,55.558055555555555,9.74472222222222
Aalbaek,Aalbaek Havn,NAN,Postbox 29Aalbæk 9982 Denmark,+45 98 48 95 70,+45 98 48 95 71,NAN,mail@aalbaek-havn.dk,www.aalbaek-havn.dk,"57° 35' 32"" N","10° 25' 40"" E",NAN,Harbor,Small,57.592222222222226,10.427777777777777
Anholt,Anholt Havn,NAN,AnholtDenmark,NAN,NAN,NAN,NAN,NAN,"56° 42' 56"" N","11° 30' 39"" E",NAN,Harbor,Very Small,56.71555555555556,11.510833333333334
Arnager,Arnager Havn,NAN,ArnagerDenmark,+45 56 97 60 54,NAN,NAN,NAN,NAN,"55° 3' 6"" N","14° 46' 49"" E",NAN,"Pier, Jetty or Wharf",Very Small,55.05166666666666,14.780277777777778
Assens,Assens Havn,Assens Havn,Nordre Havnevej 19Assens 5610Denmark,45 64 71 31 65,45 64 71 31 54,NAN,jij@assens-port.com,www.assens-port.com,"55° 16' 9"" N","9° 53' 7"" E",DKASN,Harbor,Small,55.26916666666666,9.885277777777777
Augustenborg,Augustenborg Yachthavn,Augustenborg Yachthavn,Langdel 6Augustenborg DK-6440Denmark,+45 74 47 15 62,+45 74 47 16 17,NAN,info@augustenborg-yachthavn.dk,www.augustenborg-yachthavn.dk,"54° 56' 35"" N","9° 52' 16"" E",NAN,Marina,Small,54.94305555555555,9.871111111111112
Avernakke,Avernakke Terminal,NAN,AvernakkeDenmark,NAN,NAN,NAN,NAN,NAN,"55° 17' 51"" N","10° 47' 21"" E",NAN,"Pier, Jetty or Wharf",Small,55.2975,10.789166666666667
Bagenkop,Bagenkop Havn,NAN,BagenkopDenmark,NAN,NAN,NAN,NAN,NAN,"54° 45' 7"" N","10° 40' 18"" E",NAN,Harbor,Small,54.75194444444445,10.671666666666667
Bandholm,Haven Bandholm,NAN,BandholmDenmark,NAN,NAN,NAN,NAN,NAN,"54° 50' 15"" N","11° 29' 24"" E",DKBDX,Harbor,Very Small,54.837500000000006,11.489999999999998
Bogense,Bogense Haven,NAN,Sejlerkajen 4Bogense DK 5400Denmark,45 64 81 33 39,45 64 81 21 57,NAN,havn@nordfynskommune.dk,www.bogense-sejlklub.dk,"55° 34' 3"" N","10° 4' 43"" E",NAN,Harbor,Small,55.5675,10.07861111111111
Dansk,Dansk Salts Havn,NAN,DanskDenmark,NAN,NAN,NAN,NAN,NAN,"56° 40' 57"" N","10° 2' 18"" E",NAN,"Pier, Jetty or Wharf",Very Small,56.6825,10.038333333333334
Egernsund,Egernsund Havn,NAN,EgernsundDenmark,NAN,NAN,NAN,NAN,NAN,"54° 54' 36"" N","9° 36' 8"" E",NAN,Harbor,Small,54.91,9.602222222222222
Ensted,Haven Ensted,NAN,EnstedDenmark,NAN,NAN,NAN,NAN,NAN,"55° 1' 22"" N","9° 26' 21"" E",DKENS,"Pier, Jetty or Wharf",Small,55.022777777777776,9.439166666666667
Faaborg,Faaborg Havn,Faaborg Havn,Harbour OfficeKanalvej 19Faaborg 5600Denmark,45 7253 0260,45 6261 1657,NAN,faaborghavn@faaborgmidtfyn.dk,www.faaborghavn.dk,"55° 5' 43"" N","10° 14' 5"" E",DKFAA,Harbor,Medium,55.09527777777778,10.23472222222222
Fakse Ladeplads,Fakse Ladeplads Havn,NAN,Fakse LadepladsDenmark,NAN,NAN,NAN,NAN,NAN,"55° 12' 50"" N","12° 9' 45"" E",DKFAK,Harbor,Small,55.21388888888889,12.1625
Faldsled,Faldsled Havn,NAN,FaldsledDenmark,45 21284960,NAN,NAN,faldsled.havn@gmail.com,www.faldsledhavn.dk,"55° 9' 9"" N","10° 8' 38"" E",NAN,Harbor,Small,55.152499999999996,10.143888888888888
Fredericia,Terminal  Fredericia,Associated Danish Ports A/S,Vesthavnsvej 33Fredericia DK-7000Denmark,+45 7921 5000,+45 7921 5005,NAN,post@adp-as.dk,www.adp-as.com,"55° 33' 29"" N","9° 44' 41"" E",DKFRC,Seaport,Small,55.558055555555555,9.74472222222222
Frederikssund,Frederikssund Harbour,Frederikssund Harbour Office,"Frederikssund, CopenhagenDenmark",NAN,NAN,NAN,NAN,NAN,"55° 49' 55"" N","12° 3' 13"" E",DKFDS,Harbor,Small,55.831944444444446,12.053611111111111
Frederiksvaerk,Frederiksvaerk Havn,NAN,Havnelinien 23Frederiksvaerk 3300 Denmark,45 47 721190,45 47 721190,NAN,Formand@frv-roklub.dk,www.frv-havn.dk,"55° 57' 42"" N","12° 0' 44"" E",DKFDV,Harbor,Small,55.961666666666666,12.012222222222222
Fur,Fur Harbour,NAN,FurDenmark,NAN,NAN,NAN,NAN,NAN,"56° 48' 11"" N","9° 1' 16"" E",NAN,Harbor,Small,56.80305555555555,9.021111111111113
Gedser,Gedser Fiskerihavn,Gedser Fiskerihavn,Havnegade 19Gedser 4874Denmark,+ 45 54 17 92 45,+ 45 54 14 91 86,NAN,gk@guldborgsund.dk,www.guldborgsundhavne.dk,"54° 34' 20"" N","11° 55' 37"" E",DKGED,Harbor,Small,54.57222222222222,11.926944444444445
Gilleleje,Gilleleje Havn,NAN,GillelejeDenmark,NAN,NAN,NAN,NAN,www.gillelejesejlklub.dk,"56° 7' 39"" N","12° 18' 38"" E",NAN,Harbor,Small,56.1275,12.310555555555556
Gudhjem,Gudhjem Havne,NAN,Denmark,45 56 92 23 36,45 56 92 23 37,NAN,gudhjemhavn@brk.dk,www.brk.dk,"55° 12' 48"" N","14° 58' 12"" E",NAN,Harbor,Very Small,55.21333333333334,14.97
Gulfhavn,Gulfhavn,NAN,GulfhavnDenmark,NAN,NAN,NAN,NAN,NAN,"55° 12' 3"" N","11° 15' 12"" E",DKGFH,"Pier, Jetty or Wharf",Small,55.200833333333335,11.253333333333334
Gyldendal,Gyldendal Havn,NAN,GyldendalDenmark,21 13 23 02,97 56 02 73,NAN,NAN,www.gyldendalhavn.dk,"56° 34' 48"" N","8° 42' 37"" E",NAN,Harbor,Small,56.580000000000005,8.710277777777778
Hals,Hals Havn,NAN,HalsDenmark,NAN,NAN,NAN,NAN,www.halsbaadelaug.dk,"56° 59' 15"" N","10° 18' 24"" E",NAN,Harbor,Very Small,56.987500000000004,10.306666666666667
Hammer Havn,Hammer Havn,NAN,Hammer HavnDenmark,45 56 92 23 24,45 56 48 00 85,NAN,HammerHavn@brk.dk,NAN,"55° 16' 40"" N","14° 45' 20"" E",NAN,Harbor,Very Small,55.27777777777778,14.755555555555556
Havneby,Havneby Havn,NAN,HavnebyDenmark,NAN,NAN,NAN,NAN,NAN,"55° 5' 13"" N","8° 34' 6"" E",NAN,Harbor,Small,55.08694444444445,8.568333333333333
Helligpeder,Helligpeder Havn,NAN,HelligpederDenmark,45 56 96 47 98,NAN,NAN,NAN,NAN,"55° 12' 42"" N","14° 42' 25"" E",NAN,Harbor,Very Small,55.211666666666666,14.706944444444444
Hollet,Hollet Havn,NAN,Denmark,45 20 60 42 64,NAN,NAN,formand@hoellet.dk,www.hoellet.dk,"56° 39' 58"" N","9° 57' 11"" E",NAN,"Pier, Jetty or Wharf",Very Small,56.66611111111111,9.953055555555554
Hundested,Hundested Havn,NAN,HundestedDenmark,NAN,NAN,NAN,NAN,NAN,"55° 57' 43"" N","11° 50' 48"" E",NAN,Seaport,Small,55.96194444444445,11.846666666666668
Hvide Sande,Hvide Sande Havn,NAN,Hvide SandeDenmark,NAN,NAN,NAN,NAN,NAN,"56° 0' 8"" N","8° 7' 29"" E",NAN,Harbor,Small,56.00222222222222,8.124722222222223
Juelsminde,Juelsminde Havn,Juelsminde Havn and Marina,Havnen  Juelsminde DK-7130Denmark,7569 3581,7569 4863,NAN,NAN,www.juelsmindehavn.dk,"55° 42' 56"" N","10° 0' 46"" E",NAN,Harbor,Small,55.71555555555556,10.012777777777778
Jyllinge,Jyllinge Havn,NAN,JyllingeDenmark,+45 46 78 93 48,NAN,NAN,havnefoged@jyllingehavn.dk,www.jyllingehavn.dk,"55° 44' 42"" N","12° 5' 46"" E",NAN,Marina,Small,55.745,12.096111111111112
Karrebaeksminde,Karrebaeksminde Havn,NAN,KarrebaeksmindeDenmark,NAN,NAN,NAN,NAN,NAN,"55° 10' 35"" N","11° 38' 46"" E",NAN,Harbor,Small,55.17638888888889,11.64611111111111
Klintholm,Klintholm Havn,Vordingborg Havn ,Postboks 200 Vordingborg 4760 Denmark,45 5536 2461 ,45 5536 2500 ,NAN,tek@vordbkom.dk,www.portvordingborg.dk,"54° 57' 11"" N","12° 27' 54"" E",NAN,Harbor,Small,54.95305555555556,12.465
Kongsdal,Kongsdal Havn,NAN,KongsdalDenmark,45 9858 3727,45 8818 1397,NAN,hansaage@webspeed.dk,www.kongsdal-baadelaug.dk,"56° 41' 2"" N","10° 4' 17"" E",NAN,Harbor,Small,56.68388888888889,10.071388888888889
Lindholm,Lindholm Havn,NAN,LindholmDenmark,45 72 347901,NAN,NAN,NAN,NAN,"55° 17' 58"" N","10° 48' 39"" E",NAN,Seaport,Small,55.29944444444444,10.810833333333335
Listed,Listed Havn,NAN,ListedDenmark,45 56 49 64 54,NAN,NAN,NAN,NAN,"55° 8' 45"" N","15° 6' 37"" E",NAN,Harbor,Very Small,55.145833333333336,15.110277777777778
Lundeborg,Lundeborg Havn,NAN,Denmark,45 62 25 17 53,45 23 71 56 43,NAN,NAN,havnefoged@lundeborghavn.com,"55° 8' 19"" N","10° 47' 9"" E",NAN,Harbor,Small,55.13861111111111,10.785833333333333
Middelfart,Terminal Middelfart,Associated Danish Ports A/S,Vesthavnsvej 33Fredericia DK-7000Denmark,+45 7921 5000,+45 7921 5005,NAN,post@adp-as.dk,www.adp-as.com,"55° 30' 23"" N","9° 43' 56"" E",DKMID,Seaport,Small,55.506388888888885,9.732222222222223
Mullerup,Mullerup Havn,Mullerup Havn,Mullerup Strandvej 19Slagelse 4200 Denmark,45 5838 4700,NAN,NAN,info@mulleruphavn.dk,www.mulleruphavn.dk,"55° 29' 37"" N","11° 10' 26"" E",NAN,Harbor,Small,55.493611111111115,11.173888888888888
Munkebo,Munkebo Havn,NAN,MunkeboDenmark,45 65 32 37 33,45 65 32 53 44,NAN,havn@kerteminde.dk,www.kerteminde.dk,"55° 27' 4"" N","10° 33' 22"" E",NAN,"Pier, Jetty or Wharf",Very Small,55.45111111111111,10.556111111111111
Nyborg,Nyborg Harbours,Nyborg Town Hall,RådhusetTorvet 1Nyborg 5800Denmark,+45 6333 7000,+45 6333 7001,NAN,kommune@nyborg.dk,www.nyborg.dk/Engelsk/Tourism/NyborgsHarbours,"55° 18' 25"" N","10° 47' 27"" E",NAN,Harbor,Small,55.30694444444444,10.790833333333333
Nysted,Nysted Havn,NAN,NystedDenmark,NAN,NAN,NAN,NAN,NAN,"54° 39' 50"" N","11° 43' 42"" E",NAN,Harbor,Small,54.663888888888884,11.728333333333333
Odden,Odden Havn,NAN,OddenDenmark,+45 33 15 15 15,+45 33 93 10 25,NAN,NAN,NAN,"55° 58' 25"" N","11° 17' 59"" E",NAN,Harbor,Small,55.97361111111111,11.299722222222222
Oddesund,Oddesund Havn,NAN,OddesundDenmark,45 25 40 67 70,45 96848109,NAN,struer@struer.dk,www.struer.dk,"56° 34' 55"" N","8° 33' 0"" E",NAN,Harbor,Small,56.581944444444446,8.55
Odense,Lindoe Terminal,NAN,OdenseDenmark,NAN,NAN,NAN,NAN,NAN,"55° 27' 59"" N","10° 31' 47"" E",DKLIN,Seaport,Very Small,55.46638888888889,10.529722222222222
Rantzausminde,Rantzausminde Havn,NAN,RantzausmindeDenmark,45 6220 8451,45 6220 9960,NAN,NAN,www.sss.dk,"55° 2' 1"" N","10° 32' 30"" E",NAN,Harbor,Small,55.03361111111111,10.541666666666666
Rodbyhavn,Port of Rodbyhavn,Rodbyhavn Port Authority,Ostre Kaj 3Rodbyhavn DK-4970Denmark,45 5465 7180,45 5465 7181,NAN,NAN,NAN,"54° 39' 10"" N","11° 20' 57"" E",DKROD,Seaport,Small,54.65277777777778,11.349166666666667
Rodvig,Port of Rodvig,Rodvig Port Authority,Hervejen 55St HeddingeRodvig 4660Denmark,NAN,NAN,NAN,NAN,NAN,"55° 15' 12"" N","12° 22' 27"" E",NAN,Harbor,Small,55.25333333333333,12.374166666666667
Rorvig,Rorvig Havn,NAN,RorvigDenmark,NAN,NAN,NAN,NAN,NAN,"55° 56' 39"" N","11° 46' 0"" E",NAN,Harbor,Small,55.94416666666666,11.766666666666667
Rudkobing,Port of Rudkobing,Rudkobing Port Authority,"Rudkobing Lods og HavnekontorRudkobing, Langeland 5900Denmark",45 63 51 11 70,45 63 51 11 71,NAN,NAN,www.langelandkommune.dk,"54° 56' 23"" N","10° 42' 28"" E",DKRKB,Seaport,Small,54.939722222222215,10.707777777777777
Saeby,Saeby Havn,NAN,Saeby Denmark,NAN,NAN,NAN,NAN,NAN,"57° 19' 59"" N","10° 31' 57"" E",NAN,Harbor,Small,57.33305555555556,10.5325
Sandvig,Sandvig Havn,NAN,SandvigDenmark,+45 56 92 23 26,+45 56 48 00 85,NAN,sandvighavn@brk.dk,NAN,"55° 17' 21"" N","14° 46' 57"" E",NAN,"Pier, Jetty or Wharf",Very Small,55.28916666666667,14.7825
Sillerslev,Sillerslev Marina,NAN,SillerslevDenmark,45 97 76 44 41,NAN,NAN,rigmorogfolmer@mail.dk,NAN,"56° 40' 51"" N","8° 43' 48"" E",NAN,Harbor,Small,56.68083333333333,8.73
Skaerbaek,Port of Skaerbaek,NAN,SkaerbaekDenmark,NAN,NAN,NAN,NAN,NAN,"55° 30' 44"" N","9° 37' 15"" E",NAN,Harbor,Small,55.51222222222222,9.620833333333334
Skive,Port of Skive,Skive Shipping,Postboks 66Havnevej 45Skive 7800Denmark,45 9752 1488,45 9752 7488,NAN,jh@skiveshipping.dk,www.skiveshipping.dk,"56° 34' 12"" N","9° 3' 13"" E",DKSKV,Harbor,Small,56.57,9.053611111111111
Spodsbjerg,Spodsbjerg Haven,NAN,SpodsbjergDenmark,45 33 15 15 15,45 33 93 10 25,NAN,NAN,NAN,"54° 56' 0"" N","10° 49' 57"" E",NAN,Harbor,Small,54.93333333333333,10.8325
Stege,Stege Havn,Stege Havn,Stege Harbour OfficeVed Havnen 6Stege 4780Denmark,45 55 81 55 25,45 55 81 30 67,NAN,micl@vordingborg.dk,stegehavn.com,"54° 58' 58"" N","12° 16' 52"" E",DKSTE,Harbor,Small,54.98277777777778,12.281111111111112
Stevns Pier,Port of Stevns Pier,NAN,Stevns PierDenmark,NAN,NAN,NAN,NAN,NAN,"55° 19' 22"" N","12° 27' 8"" E",NAN,"Pier, Jetty or Wharf",Very Small,55.32277777777778,12.452222222222222
Stigsnaesvaerkets Havn,Stigsnaesvaerkets Havn,NAN,Stigsnaesvaerkets HavnDenmark,NAN,NAN,NAN,NAN,NAN,"55° 12' 25"" N","11° 14' 54"" E",DKSTG,"Pier, Jetty or Wharf",Small,55.206944444444446,11.248333333333333
Stinesminde,Stinesminde Havn,NAN,StinesmindeDenmark,45 9855 8313,NAN,NAN,NAN,NAN,"56° 40' 16"" N","9° 58' 13"" E",NAN,Harbor,Very Small,56.67111111111111,9.970277777777778
Strandby,Strandby Havn,S/I Strandby Fiskerihavn,HavnekontorRødspættevej 5Strandby 9970  Denmark,98 48 20 42,98 48 17 71,NAN,NAN,www.strandbyhavn.dk,"57° 29' 38"" N","10° 30' 17"" E",NAN,Harbor,Small,57.49388888888889,10.504722222222222
Strib,Strib Havn,Strib Bådehavn AmbA,"Strandvejen 271Strib, Middelfart 5500 Denmark",45 6440 6456 ,NAN,NAN,stribhavn@stribnet.dk,www.stribhavn.dk,"55° 32' 21"" N","9° 45' 42"" E",NAN,Harbor,Very Small,55.53916666666667,9.761666666666667
Studstrup,Port of Studstrup,NAN,StudstrupDenmark,NAN,NAN,NAN,NAN,NAN,"56° 14' 55"" N","10° 20' 44"" E",DKSSV,"Pier, Jetty or Wharf",Small,56.24861111111111,10.345555555555556
Tejn,Tejn Havn,NAN,TejnDenmark,NAN,NAN,NAN,NAN,NAN,"55° 14' 55"" N","14° 50' 10"" E",NAN,Harbor,Very Small,55.24861111111111,14.836111111111112
Thorsminde,Thorsminde Havn,NAN,Havne- og slusekontoretVesterhavsgade 1aUlfborg DK-6990Denmark,45 9749 7044,45 9749 7140,NAN,NAN,www.thorsmindehavn.dk,"56° 22' 8"" N","8° 7' 13"" E",NAN,Harbor,Small,56.36888888888889,8.120277777777778
Vang,Vang Havn,NAN,VangDenmark,45 56 96 92 93,NAN,NAN,NAN,NAN,"55° 14' 55"" N","14° 44' 11"" E",NAN,Harbor,Very Small,55.24861111111111,14.736388888888888
Vasebro,Vasebro Havn,NAN,VasebroDenmark,45 58 194204,45 58 194208,NAN,NAN,NAN,"55° 14' 46"" N","11° 14' 47"" E",NAN,"Pier, Jetty or Wharf",Very Small,55.24611111111111,11.246388888888887
Vilsund,Vilsund Havn,NAN,VilsundDenmark,45 97 95 16 66,NAN,NAN,NAN,www.vilsund.dk,"56° 52' 55"" N","8° 37' 45"" E",NAN,Harbor,Small,56.88194444444444,8.629166666666666
Roseau,Port of Roseau,Dominica Port Authority,PO Box 243RoseauDominica,767 448 4431,767 448 6131,NAN,domport@cwdom.dm,NAN,"15° 17' 47"" N","61° 23' 15"" W",DMRSU,Seaport,Small,15.296388888888888,-61.3875
Woodbridge Bay,Port of Woodbridge Bay,Dominica Port Authority,PO Box 243RoseauDominica,767 448 4009,767 448 6131,NAN,domport@cwdom.dm,NAN,"15° 18' 43"" N","61° 23' 19"" W",NAN,"Pier, Jetty or Wharf",Small,15.311944444444444,-61.38861111111111
Barahona,Port of Barahona,Autoridad Portuaria Dominicana,BarahonaDominican Republic,809 524 2384,NAN,NAN,NAN,www.apordom.gov.do,"18° 12' 35"" N","71° 5' 22"" W",DOBRX,Harbor,Small,18.209722222222222,-71.08944444444444
Boca Chica,Port of Boca Chica,Autoridad Portuaria Dominicana,Boca ChicaDominican Republic,809 523 4320,NAN,NAN,NAN,www.apordom.gov.do,"18° 25' 29"" N","69° 37' 54"" W",DOBCC,Seaport,Small,18.424722222222222,-69.63166666666666
Cabo Rojo,Port of Cabo Rojo,Autoridad Portuaria Dominicana,Cabo RojoDominican Republic,NAN,NAN,NAN,NAN,www.apordom.gov.do,"17° 55' 31"" N","71° 39' 28"" W",DOCBJ,"Pier, Jetty or Wharf",Very Small,17.92527777777778,-71.65777777777778
La Romana,Port of La Romana,Autoridad Portuaria Dominicana,La RomanaDominican Republic,809 556 3285,NAN,NAN,NAN,www.apordom.gov.do,"18° 24' 59"" N","68° 57' 35"" W",DOLRM,Harbor,Small,18.41638888888889,-68.95972222222223
Manzanillo,Port of Manzanillo,Autoridad Portuaria Dominicana,ManzanilloDominican Republic,NAN,NAN,NAN,NAN,www.apordom.gov.do,"19° 42' 26"" N","71° 44' 35"" W",DOMAN,"Pier, Jetty or Wharf",Very Small,19.70722222222222,-71.74305555555556
Palenque,Port of Palenque,Refiner'a Dominicana de Petr-leo,Santo DomingoDominican Republic,NAN,NAN,NAN,NAN,www.apordom.gov.do,"18° 13' 34"" N","70° 11' 33"" W",DOPAL,Off-Shore Terminal,Very Small,18.22611111111111,-70.19250000000001
Puerto Plata,Port of Puerto Plata,Autoridad Portuaria Dominicana,Puerto PlataDominican Republic,809 586 6566,NAN,NAN,NAN,www.apordom.gov.do,"19° 48' 13"" N","70° 42' 3"" W",DOPOP,Harbor,Small,19.803611111111113,-70.70083333333334
Puerto Viejo de Azua,Port of Puerto Viejo de Azua,Autoridad Portuaria Dominicana,Puerto Viejo de AzuaDominican Republic,NAN,NAN,NAN,NAN,www.apordom.gov.do,"18° 20' 48"" N","70° 50' 10"" W",DOPVA,"Pier, Jetty or Wharf",Very Small,18.346666666666664,-70.83611111111111
Punta Caucedo,Caucedo,DP World Caucedo,"Zona Franca Multimodal CaucedoBldg. ADM. Suite 200, Punta CaucedoBoca ChicaDominican Republic",809 373 7300,NAN,NAN,glen.hilton@dpworld.com,NAN,"18° 25' 34"" N","69° 37' 53"" W",NAN,Seaport,Medium,18.426111111111112,-69.63138888888888
San Pedro de Macoris,Port of San Pedro de Macoris,Autoridad Portuaria Dominicana,San Pedro de MacorisDominican Republic,809 529 2069,NAN,NAN,NAN,www.apordom.gov.do,"18° 26' 47"" N","69° 18' 42"" W",DOSPM,"Pier, Jetty or Wharf",Small,18.44638888888889,-69.31166666666667
Bahia De Caraquez,Port of Bahia De Caraquez,NAN,Bahia De CaraquezEcuador,NAN,NAN,NAN,NAN,NAN,"0° 36' 2"" S","80° 24' 54"" W",ECBHA,Harbor,Small,-0.6005555555555555,-80.415
Esmeraldas,Portuaria de Esmeraldas,Esmeraldas Port Authority,Autoridad Portuaria de Esmeraldas/APEEsmeraldasEcuador,593-6 2721352,593-6 2721354,NAN,sugerencias@puertoesmeraldas.gov.ec,www.puertoesmeraldas.gov.ec,"0° 59' 22"" N","79° 38' 53"" W",ECESM,Harbor,Small,0.9894444444444443,-79.64805555555556
Esmeraldas,Tepre Terminal,NAN,EsmeraldasEcuador,NAN,NAN,NAN,NAN,NAN,"1° 1' 0"" N","79° 40' 0"" W",ECTEP,Off-Shore Terminal,Very Small,1.0166666666666666,-79.66666666666667
La Libertad,Port of La Libertad,NAN,La LibertadEcuador,NAN,NAN,NAN,NAN,NAN,"2° 13' 10"" S","80° 55' 4"" W",ECLLD,"Pier, Jetty or Wharf",Small,-2.2194444444444446,-80.91777777777779
